,TRAN_DATE,TRANAMOUNT,ACCOUNTNO,REFERENCENO,TRAN_REMARKS,TRAN_ID
0,09-02-2022,319292228.4,0103SLMPSWDL,OTHERS-P SETT DT 01.,,S85305249
1,09-02-2022,156.56,0103SLMPSWDL,OTHERS-PSETTL DT 01.,,S85305249
2,09-02-2022,2.0,0103SLMPSWDL,OTHERS-PLPR - DT 01.,,S85305249
3,09-02-2022,487200.0,0103SLMPSWDL,OTHERS-PMDU - DT 01.,,S85305249
4,09-02-2022,17773477.77,0103SLMPSWDL,OTHERS-PCI POS SETT,,S85321543
5,09-02-2022,4126.74,0103SLMPSWDL,OTHERS-PMCI MDU - DT,,S85321543
6,09-02-2022,6637715.58,0103SLMPSWDL,,224500027124//10101170199,S81790442
7,09-02-2022,9225.9,0103SLMPSWDL,OTHERS-P DIFF DT 01.,,S85305249
8,09-02-2022,1060258.4,0103SLMPSWDL,-,,S88726203
9,09-02-2022,177403.23,0103SLMPSWDL,-,,S88726203
10,09-02-2022,6637715.58,0103SLMPSWDL,-,,S80939874
11,09-02-2022,724835.83,0103SLMPSWDL,-,,S80939874
12,09-02-2022,387245.81,0103SLMPSWDL,-,,S80939874
13,09-02-2022,368244.15,0103SLMPSWDL,OTHERS-,,S84844776
14,09-02-2022,428944.91,0103SLMPSWDL,OTHERS-PMCI CLPR - D,,S85321543
15,09-02-2022,19040992.55,0103SLMPSWDL,OTHERS-PMCI USD (DIF,,S85321543
16,09-02-2022,724835.83,0103SLMPSWDL,,224500029700//10101170199,S81830051
17,09-02-2022,3278.0,0103SLMPSWDL,-,,S67627846
18,09-02-2022,901340.14,0103SLMPSWDL,-,,S85145398
19,09-02-2022,65068.0,0103SLMPSWDL,-,,S85145398
20,09-02-2022,73298.0,0103SLMPSWDL,-,,S85145398
21,09-02-2022,148931.0,0103SLMPSWDL,-,,S85145398
22,09-02-2022,319281971.7,0103SLMPSWDL,OTHERS-,,S85280052
23,09-02-2022,1053284.16,0103SLMPSWDL,OTHERS-,,S85280052
24,09-02-2022,387245.81,0103SLMPSWDL,,224500029640//10101170199,S81824361
